Strain,Gene,Parent,Expected,Ref,Alt,Refstop,Altstop,Nonsyn,Nvars,Utr5,Utr3,Exon,Intron,Lengthdif,Strand,Start,End,Seqid,Description
19,CNAG_01815,CNAG_01815-t26_1,990.0,990,990,1,1,16,37,0,2,33,2,0.0,-1,989854,993351,CP003830.1,hypothetical protein
19,CNAG_01816,CNAG_01816-t26_1,283.0,283,283,1,1,20,60,1,25,30,4,0.0,1,993455,996304,CP003830.1,hypothetical protein hypothetical protein variant
19,CNAG_01816,CNAG_01816-t26_2,283.0,283,283,1,1,20,60,1,23,30,6,0.0,1,993455,996304,CP003830.1,hypothetical protein hypothetical protein variant
19,CNAG_01817,CNAG_01817-t26_1,674.0,674,674,1,1,12,50,5,12,29,4,0.0,-1,994134,996999,CP003830.1,signal recognition particle receptor subunit alpha
19,CNAG_01818,CNAG_01818-t26_1,292.0,292,292,1,1,4,36,0,17,15,4,0.0,1,997140,999627,CP003830.1,ATP synthase mitochondrial F1 complex assembly factor 2
19,CNAG_01819,CNAG_01819-t26_1,276.0,276,276,1,1,0,17,7,0,6,4,0.0,-1,998364,999675,CP003830.1,large subunit ribosomal protein L1
19,CNAG_01820,CNAG_01820-t26_1,572.0,572,572,1,1,0,38,2,6,20,10,0.0,1,999759,1002752,CP003830.1,Pyruvate kinase pyruvate kinase variant
19,CNAG_01820,CNAG_01820-t26_2,529.0,529,529,1,1,0,38,1,6,20,11,0.0,1,999759,1002752,CP003830.1,Pyruvate kinase pyruvate kinase variant
19,CNAG_01821,CNAG_01821-t26_1,226.0,226,226,1,1,2,22,3,11,4,4,0.0,1,1003386,1004845,CP003830.1,hypothetical protein
19,CNAG_01822,CNAG_01822-t26_1,109.0,109,109,1,1,0,14,1,5,1,7,0.0,1,1005653,1006502,CP003830.1,hypothetical protein
19,CNAG_01823,CNAG_01823-t26_1,307.0,307,307,1,1,2,34,4,7,10,13,0.0,-1,1007061,1009124,CP003830.1,myo-inositol-1(or 4)-monophosphatase myo-inositol-1(or 4)-monophosphatase variant
19,CNAG_01823,CNAG_01823-t26_2,307.0,307,307,1,1,2,34,4,7,10,13,0.0,-1,1007061,1009124,CP003830.1,myo-inositol-1(or 4)-monophosphatase myo-inositol-1(or 4)-monophosphatase variant
19,CNAG_01824,CNAG_01824-t26_1,1550.0,1550,1550,1,1,12,89,13,3,56,17,0.0,1,1010646,1016912,CP003830.1,Transmembrane protein transmembrane protein variant
19,CNAG_01824,CNAG_01824-t26_2,1550.0,1550,1550,1,1,12,89,10,3,56,20,0.0,1,1010646,1016912,CP003830.1,Transmembrane protein transmembrane protein variant
19,CNAG_01825,CNAG_01825-t26_1,293.0,293,293,1,1,10,17,4,1,12,0,0.0,-1,1016899,1018106,CP003830.1,hypothetical protein
19,CNAG_01826,CNAG_01826-t26_1,644.0,644,644,1,1,6,30,6,6,14,4,0.0,-1,1018228,1021119,CP003830.1,transcription initiation factor TFIIH subunit 1
19,CNAG_01827,CNAG_01827-t26_1,581.0,581,581,1,1,24,76,3,7,38,28,0.0,-1,1021407,1024480,CP003830.1,hypothetical protein hypothetical protein variant 1 hypothetical protein variant 2 hypothetical protein variant 3
19,CNAG_01827,CNAG_01827-t26_2,574.0,574,574,1,1,20,76,3,7,38,28,0.0,-1,1021407,1024480,CP003830.1,hypothetical protein hypothetical protein variant 1 hypothetical protein variant 2 hypothetical protein variant 3
19,CNAG_01827,CNAG_01827-t26_3,576.0,576,576,1,1,20,76,3,7,38,28,0.0,-1,1021407,1024480,CP003830.1,hypothetical protein hypothetical protein variant 1 hypothetical protein variant 2 hypothetical protein variant 3
19,CNAG_01827,CNAG_01827-t26_4,593.0,593,593,1,1,20,76,3,7,39,27,0.0,-1,1021407,1024480,CP003830.1,hypothetical protein hypothetical protein variant 1 hypothetical protein variant 2 hypothetical protein variant 3
19,CNAG_01828,CNAG_01828-t26_1,500.0,500,500,1,1,6,26,1,1,14,10,0.0,1,1024673,1026784,CP003830.1,compass component swd1
19,CNAG_01832,CNAG_01832-t26_1,229.0,229,229,1,1,4,16,2,5,6,3,0.0,-1,1033352,1034522,CP003830.1,hypothetical protein
19,CNAG_01833,CNAG_01833-t26_1,299.0,299,299,1,1,4,15,0,3,5,7,0.0,1,1034659,1036054,CP003830.1,translation initiation factor 4E
